deviceId,date,hour,steps_sum,steps_max_5min,sensor_intervals,steps_observed,steps_coverage
ab60,2021-03-15,2021-03-15 11:00:00,36.0,36.0,11,6,0.5454545454545454
ab60,2021-03-15,2021-03-15 12:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-15,2021-03-15 13:00:00,0.0,0.0,6,3,0.5
ab60,2021-03-15,2021-03-15 14:00:00,0.0,0.0,5,3,0.6
ab60,2021-03-16,2021-03-16 04:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-16,2021-03-16 06:00:00,6.0,6.0,5,5,1.0
ab60,2021-03-16,2021-03-16 07:00:00,22.583333333333332,14.75,3,3,1.0
ab60,2021-03-16,2021-03-16 09:00:00,0.0,0.0,2,2,1.0
ab60,2021-03-16,2021-03-16 10:00:00,0.0,0.0,7,4,0.5714285714285714
ab60,2021-03-16,2021-03-16 11:00:00,0.0,0.0,5,4,0.8
ab60,2021-03-16,2021-03-16 14:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-17,2021-03-17 06:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-17,2021-03-17 07:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-17,2021-03-17 09:00:00,3.5,3.5,3,1,0.3333333333333333
ab60,2021-03-17,2021-03-17 10:00:00,0.0,0.0,6,5,0.8333333333333334
ab60,2021-03-17,2021-03-17 11:00:00,0.0,0.0,4,3,0.75
ab60,2021-03-17,2021-03-17 12:00:00,0.0,0.0,3,2,0.6666666666666666
ab60,2021-03-17,2021-03-17 13:00:00,0.0,0.0,4,1,0.25
ab60,2021-03-17,2021-03-17 14:00:00,2.7142857142857144,2.7142857142857144,5,4,0.8
ab60,2021-03-17,2021-03-17 15:00:00,0.0,0.0,4,1,0.25
ab60,2021-03-18,2021-03-18 02:00:00,0.0,0.0,2,2,1.0
ab60,2021-03-18,2021-03-18 05:00:00,0.0,0.0,6,5,0.8333333333333334
ab60,2021-03-18,2021-03-18 08:00:00,0.0,0.0,2,2,1.0
ab60,2021-03-18,2021-03-18 09:00:00,0.0,0.0,4,4,1.0
ab60,2021-03-18,2021-03-18 10:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-18,2021-03-18 11:00:00,0.0,0.0,3,3,1.0
ab60,2021-03-18,2021-03-18 12:00:00,0.0,0.0,6,4,0.6666666666666666
ab60,2021-03-18,2021-03-18 13:00:00,,,1,0,0.0
ab60,2021-03-18,2021-03-18 14:00:00,0.0,0.0,3,2,0.6666666666666666
ab60,2021-03-18,2021-03-18 15:00:00,0.0,0.0,4,4,1.0
ab60,2021-03-18,2021-03-18 16:00:00,,,1,0,0.0
ab60,2021-03-19,2021-03-19 01:00:00,0.0,0.0,3,2,0.6666666666666666
ab60,2021-03-19,2021-03-19 02:00:00,85.0,85.0,1,1,1.0
ab60,2021-03-19,2021-03-19 04:00:00,0.0,0.0,2,2,1.0
ab60,2021-03-19,2021-03-19 05:00:00,,,1,0,0.0
ab60,2021-03-19,2021-03-19 07:00:00,0.0,0.0,3,3,1.0
ab60,2021-03-19,2021-03-19 08:00:00,,,1,0,0.0
ab60,2021-03-19,2021-03-19 10:00:00,0.0,0.0,5,2,0.4
ab60,2021-03-19,2021-03-19 11:00:00,0.0,0.0,5,4,0.8
ab60,2021-03-19,2021-03-19 13:00:00,0.0,0.0,4,3,0.75
ab60,2021-03-19,2021-03-19 14:00:00,0.0,0.0,6,3,0.5
ab60,2021-03-20,2021-03-20 04:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-20,2021-03-20 05:00:00,,,2,0,0.0
ab60,2021-03-20,2021-03-20 06:00:00,10.5,10.5,7,4,0.5714285714285714
ab60,2021-03-20,2021-03-20 07:00:00,0.0,0.0,4,3,0.75
ab60,2021-03-20,2021-03-20 08:00:00,0.0,0.0,8,6,0.75
ab60,2021-03-20,2021-03-20 09:00:00,0.0,0.0,6,5,0.8333333333333334
ab60,2021-03-20,2021-03-20 10:00:00,0.0,0.0,8,6,0.75
ab60,2021-03-20,2021-03-20 11:00:00,0.0,0.0,3,2,0.6666666666666666
ab60,2021-03-21,2021-03-21 04:00:00,0.0,0.0,3,1,0.3333333333333333
ab60,2021-03-21,2021-03-21 11:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-21,2021-03-21 12:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-21,2021-03-21 13:00:00,0.0,0.0,4,2,0.5
ab60,2021-03-21,2021-03-21 14:00:00,0.0,0.0,6,2,0.3333333333333333
ab60,2021-03-22,2021-03-22 02:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-22,2021-03-22 06:00:00,0.0,0.0,2,2,1.0
ab60,2021-03-22,2021-03-22 07:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-22,2021-03-22 10:00:00,2.2,2.2,2,2,1.0
ab60,2021-03-22,2021-03-22 11:00:00,1.8333333333333333,1.8333333333333333,4,3,0.75
ab60,2021-03-22,2021-03-22 12:00:00,1.6666666666666667,1.6666666666666667,6,6,1.0
ab60,2021-03-22,2021-03-22 13:00:00,0.0,0.0,4,4,1.0
ab60,2021-03-22,2021-03-22 14:00:00,,,2,0,0.0
ab60,2021-03-24,2021-03-24 01:00:00,11.333333333333334,11.333333333333334,3,1,0.3333333333333333
ab60,2021-03-24,2021-03-24 02:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-24,2021-03-24 03:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-24,2021-03-24 04:00:00,0.0,0.0,3,3,1.0
ab60,2021-03-24,2021-03-24 05:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-24,2021-03-24 06:00:00,8.0,8.0,10,8,0.8
ab60,2021-03-24,2021-03-24 07:00:00,1.588235294117647,1.588235294117647,4,4,1.0
ab60,2021-03-24,2021-03-24 08:00:00,,,1,0,0.0
ab60,2021-03-24,2021-03-24 10:00:00,,,2,0,0.0
ab60,2021-03-24,2021-03-24 11:00:00,0.0,0.0,4,2,0.5
ab60,2021-03-24,2021-03-24 12:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-24,2021-03-24 13:00:00,0.0,0.0,5,5,1.0
ab60,2021-03-24,2021-03-24 14:00:00,0.0,0.0,5,3,0.6
ab60,2021-03-25,2021-03-25 01:00:00,0.0,0.0,4,2,0.5
ab60,2021-03-25,2021-03-25 02:00:00,,,3,0,0.0
ab60,2021-03-25,2021-03-25 03:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-25,2021-03-25 04:00:00,,,5,0,0.0
ab60,2021-03-25,2021-03-25 05:00:00,3.25,3.25,3,3,1.0
ab60,2021-03-25,2021-03-25 06:00:00,0.0,0.0,3,3,1.0
ab60,2021-03-25,2021-03-25 07:00:00,525.0,525.0,3,2,0.6666666666666666
ab60,2021-03-25,2021-03-25 08:00:00,5.083333333333333,5.083333333333333,7,6,0.8571428571428571
ab60,2021-03-25,2021-03-25 09:00:00,0.0,0.0,6,6,1.0
ab60,2021-03-25,2021-03-25 11:00:00,0.0,0.0,6,1,0.16666666666666666
ab60,2021-03-25,2021-03-25 12:00:00,0.0,0.0,7,2,0.2857142857142857
ab60,2021-03-25,2021-03-25 13:00:00,,,4,0,0.0
ab60,2021-03-25,2021-03-25 14:00:00,0.0,0.0,5,3,0.6
ab60,2021-03-25,2021-03-25 15:00:00,,,1,0,0.0
ab60,2021-03-26,2021-03-26 02:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-26,2021-03-26 04:00:00,0.0,0.0,6,5,0.8333333333333334
ab60,2021-03-26,2021-03-26 05:00:00,43.5,41.0,8,6,0.75
ab60,2021-03-26,2021-03-26 06:00:00,0.0,0.0,6,4,0.6666666666666666
ab60,2021-03-26,2021-03-26 07:00:00,0.0,0.0,4,2,0.5
ab60,2021-03-26,2021-03-26 08:00:00,0.0,0.0,5,2,0.4
ab60,2021-03-26,2021-03-26 09:00:00,,,1,0,0.0
ab60,2021-03-26,2021-03-26 10:00:00,0.0,0.0,3,1,0.3333333333333333
ab60,2021-03-26,2021-03-26 11:00:00,0.0,0.0,7,2,0.2857142857142857
ab60,2021-03-26,2021-03-26 12:00:00,11.833333333333334,11.833333333333334,10,2,0.2
ab60,2021-03-26,2021-03-26 13:00:00,0.0,0.0,4,2,0.5
ab60,2021-03-26,2021-03-26 14:00:00,0.0,0.0,8,6,0.75
ab60,2021-03-26,2021-03-26 15:00:00,,,2,0,0.0
ab60,2021-03-27,2021-03-27 00:00:00,6.333333333333333,6.333333333333333,5,1,0.2
ab60,2021-03-27,2021-03-27 01:00:00,,,11,0,0.0
ab60,2021-03-27,2021-03-27 02:00:00,,,4,0,0.0
ab60,2021-03-27,2021-03-27 05:00:00,0.0,0.0,2,2,1.0
ab60,2021-03-27,2021-03-27 06:00:00,24.0,24.0,3,2,0.6666666666666666
ab60,2021-03-27,2021-03-27 08:00:00,,,1,0,0.0
ab60,2021-03-27,2021-03-27 09:00:00,11.5,11.5,6,5,0.8333333333333334
ab60,2021-03-27,2021-03-27 10:00:00,,,3,0,0.0
ab60,2021-03-28,2021-03-28 01:00:00,,,1,0,0.0
ab60,2021-03-28,2021-03-28 02:00:00,0.0,0.0,4,2,0.5
ab60,2021-03-28,2021-03-28 04:00:00,0.0,0.0,6,1,0.16666666666666666
ab60,2021-03-28,2021-03-28 05:00:00,0.0,0.0,7,1,0.14285714285714285
ab60,2021-03-28,2021-03-28 06:00:00,0.0,0.0,6,3,0.5
ab60,2021-03-28,2021-03-28 07:00:00,0.0,0.0,3,2,0.6666666666666666
ab60,2021-03-28,2021-03-28 08:00:00,2.0,2.0,7,5,0.7142857142857143
ab60,2021-03-28,2021-03-28 09:00:00,5.666666666666667,5.666666666666667,4,4,1.0
ab60,2021-03-28,2021-03-28 10:00:00,,,1,0,0.0
ab60,2021-03-28,2021-03-28 11:00:00,,,2,0,0.0
ab60,2021-03-28,2021-03-28 12:00:00,0.0,0.0,6,6,1.0
ab60,2021-03-28,2021-03-28 13:00:00,8.5,6.0,5,2,0.4
ab60,2021-03-29,2021-03-29 01:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-29,2021-03-29 02:00:00,0.0,0.0,10,7,0.7
ab60,2021-03-29,2021-03-29 03:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-29,2021-03-29 04:00:00,0.0,0.0,8,6,0.75
ab60,2021-03-29,2021-03-29 05:00:00,0.0,0.0,8,7,0.875
ab60,2021-03-29,2021-03-29 06:00:00,0.0,0.0,7,5,0.7142857142857143
ab60,2021-03-29,2021-03-29 07:00:00,13.0,13.0,8,6,0.75
ab60,2021-03-29,2021-03-29 08:00:00,0.0,0.0,4,3,0.75
ab60,2021-03-29,2021-03-29 09:00:00,0.0,0.0,3,3,1.0
ab60,2021-03-29,2021-03-29 10:00:00,0.0,0.0,5,4,0.8
ab60,2021-03-29,2021-03-29 11:00:00,0.0,0.0,9,9,1.0
ab60,2021-03-29,2021-03-29 12:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-29,2021-03-29 13:00:00,11.857142857142858,11.857142857142858,3,2,0.6666666666666666
ab60,2021-03-29,2021-03-29 14:00:00,0.0,0.0,4,1,0.25
ab60,2021-03-30,2021-03-30 01:00:00,0.0,0.0,4,4,1.0
ab60,2021-03-30,2021-03-30 02:00:00,1.8571428571428568,1.8571428571428568,6,3,0.5
ab60,2021-03-30,2021-03-30 03:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-30,2021-03-30 04:00:00,11.25,11.25,3,2,0.6666666666666666
ab60,2021-03-30,2021-03-30 05:00:00,0.0,0.0,8,7,0.875
ab60,2021-03-30,2021-03-30 06:00:00,0.0,0.0,9,7,0.7777777777777778
ab60,2021-03-30,2021-03-30 07:00:00,0.0,0.0,5,5,1.0
ab60,2021-03-30,2021-03-30 08:00:00,0.0,0.0,7,5,0.7142857142857143
ab60,2021-03-30,2021-03-30 09:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-30,2021-03-30 10:00:00,0.0,0.0,7,7,1.0
ab60,2021-03-30,2021-03-30 11:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-30,2021-03-30 12:00:00,0.0,0.0,5,3,0.6
ab60,2021-03-30,2021-03-30 13:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-30,2021-03-30 14:00:00,0.0,0.0,5,3,0.6
ab60,2021-03-31,2021-03-31 04:00:00,0.0,0.0,4,4,1.0
ab60,2021-03-31,2021-03-31 05:00:00,0.0,0.0,2,2,1.0
ab60,2021-03-31,2021-03-31 06:00:00,0.0,0.0,5,3,0.6
ab60,2021-03-31,2021-03-31 07:00:00,5.222222222222222,5.222222222222222,3,3,1.0
ab60,2021-03-31,2021-03-31 08:00:00,0.0,0.0,3,2,0.6666666666666666
ab60,2021-03-31,2021-03-31 13:00:00,4.25,4.25,7,7,1.0
ab60,2021-03-31,2021-03-31 14:00:00,4.666666666666667,4.666666666666667,4,4,1.0
ab60,2021-04-01,2021-04-01 01:00:00,,,4,0,0.0
ab60,2021-04-01,2021-04-01 04:00:00,0.0,0.0,1,1,1.0
ab60,2021-04-01,2021-04-01 05:00:00,0.0,0.0,9,7,0.7777777777777778
ab60,2021-04-01,2021-04-01 06:00:00,2.833333333333333,2.833333333333333,12,11,0.9166666666666666
ab60,2021-04-01,2021-04-01 07:00:00,0.0,0.0,8,5,0.625
ab60,2021-04-01,2021-04-01 08:00:00,0.0,0.0,4,4,1.0
ab60,2021-04-01,2021-04-01 13:00:00,0.0,0.0,6,6,1.0
ab60,2021-04-01,2021-04-01 14:00:00,0.0,0.0,1,1,1.0
ab60,2021-04-02,2021-04-02 01:00:00,9.5,9.5,2,1,0.5
ab60,2021-04-02,2021-04-02 02:00:00,,,1,0,0.0
ab60,2021-04-02,2021-04-02 03:00:00,0.0,0.0,8,7,0.875
ab60,2021-04-02,2021-04-02 04:00:00,0.0,0.0,7,7,1.0
ab60,2021-04-02,2021-04-02 05:00:00,0.0,0.0,3,3,1.0
ab60,2021-04-02,2021-04-02 06:00:00,0.0,0.0,1,1,1.0
ab60,2021-04-02,2021-04-02 07:00:00,0.0,0.0,6,4,0.6666666666666666
ab60,2021-04-02,2021-04-02 08:00:00,0.0,0.0,5,4,0.8
ab60,2021-04-02,2021-04-02 09:00:00,0.0,0.0,3,3,1.0
ab60,2021-04-02,2021-04-02 10:00:00,0.0,0.0,1,1,1.0
ab60,2021-04-02,2021-04-02 11:00:00,0.0,0.0,6,2,0.3333333333333333
ab60,2021-04-02,2021-04-02 12:00:00,0.0,0.0,6,4,0.6666666666666666
ab60,2021-04-02,2021-04-02 13:00:00,0.0,0.0,4,1,0.25
ab60,2021-04-02,2021-04-02 14:00:00,0.0,0.0,6,5,0.8333333333333334
ab60,2021-04-03,2021-04-03 03:00:00,0.0,0.0,5,2,0.4
ab60,2021-04-03,2021-04-03 05:00:00,0.0,0.0,3,3,1.0
ab60,2021-04-03,2021-04-03 06:00:00,16.285714285714285,8.285714285714286,11,10,0.9090909090909091
ab60,2021-04-03,2021-04-03 07:00:00,5.857142857142857,5.857142857142857,6,5,0.8333333333333334
ab60,2021-04-03,2021-04-03 08:00:00,8.0,8.0,7,6,0.8571428571428571
ab60,2021-04-03,2021-04-03 09:00:00,,,3,0,0.0
ab60,2021-04-04,2021-04-04 03:00:00,0.0,0.0,1,1,1.0
ab60,2021-04-04,2021-04-04 04:00:00,0.0,0.0,4,4,1.0
ab60,2021-04-04,2021-04-04 05:00:00,0.0,0.0,2,2,1.0
ab60,2021-04-04,2021-04-04 12:00:00,0.0,0.0,8,6,0.75
ab60,2021-04-04,2021-04-04 13:00:00,0.0,0.0,3,1,0.3333333333333333
am77,2021-03-05,2021-03-05 07:00:00,,,3,0,0.0
am77,2021-03-05,2021-03-05 08:00:00,,,1,0,0.0
am77,2021-03-05,2021-03-05 22:00:00,,,3,0,0.0
am77,2021-03-05,2021-03-05 23:00:00,,,2,0,0.0
am77,2021-03-06,2021-03-06 00:00:00,,,1,0,0.0
am77,2021-03-06,2021-03-06 01:00:00,,,3,0,0.0
am77,2021-03-06,2021-03-06 02:00:00,,,1,0,0.0
am77,2021-03-06,2021-03-06 03:00:00,,,4,0,0.0
am77,2021-03-06,2021-03-06 11:00:00,,,1,0,0.0
am77,2021-03-06,2021-03-06 12:00:00,,,1,0,0.0
am77,2021-03-07,2021-03-07 00:00:00,,,1,0,0.0
am77,2021-03-07,2021-03-07 01:00:00,,,3,0,0.0
am77,2021-03-07,2021-03-07 05:00:00,,,3,0,0.0
am77,2021-03-07,2021-03-07 07:00:00,,,2,0,0.0
am77,2021-03-07,2021-03-07 10:00:00,,,1,0,0.0
am77,2021-03-07,2021-03-07 11:00:00,,,1,0,0.0
am77,2021-03-07,2021-03-07 12:00:00,,,4,0,0.0
am77,2021-03-08,2021-03-08 02:00:00,0.0,0.0,1,1,1.0
am77,2021-03-08,2021-03-08 05:00:00,,,1,0,0.0
am77,2021-03-08,2021-03-08 08:00:00,,,1,0,0.0
am77,2021-03-08,2021-03-08 13:00:00,0.0,0.0,2,1,0.5
am77,2021-03-09,2021-03-09 00:00:00,0.0,0.0,2,1,0.5
am77,2021-03-09,2021-03-09 04:00:00,0.0,0.0,1,1,1.0
am77,2021-03-09,2021-03-09 06:00:00,11.0,11.0,1,1,1.0
am77,2021-03-09,2021-03-09 07:00:00,,,1,0,0.0
am77,2021-03-09,2021-03-09 09:00:00,0.0,0.0,2,1,0.5
am77,2021-03-09,2021-03-09 12:00:00,0.0,0.0,2,2,1.0
am77,2021-03-09,2021-03-09 13:00:00,,,3,0,0.0
am77,2021-03-09,2021-03-09 23:00:00,0.5,0.5,3,2,0.6666666666666666
am77,2021-03-10,2021-03-10 01:00:00,,,2,0,0.0
am77,2021-03-10,2021-03-10 05:00:00,0.0,0.0,1,1,1.0
am77,2021-03-10,2021-03-10 06:00:00,0.0,0.0,1,1,1.0
am77,2021-03-11,2021-03-11 02:00:00,0.0,0.0,1,1,1.0
am77,2021-03-11,2021-03-11 03:00:00,,,1,0,0.0
am77,2021-03-11,2021-03-11 05:00:00,23.0,23.0,2,2,1.0
am77,2021-03-11,2021-03-11 10:00:00,0.0,0.0,1,1,1.0
am77,2021-03-11,2021-03-11 11:00:00,0.0,0.0,4,4,1.0
am77,2021-03-11,2021-03-11 12:00:00,0.0,0.0,1,1,1.0
am77,2021-03-11,2021-03-11 21:00:00,,,1,0,0.0
am77,2021-03-12,2021-03-12 01:00:00,0.0,0.0,1,1,1.0
am77,2021-03-12,2021-03-12 11:00:00,,,1,0,0.0
am77,2021-03-12,2021-03-12 12:00:00,0.0,0.0,1,1,1.0
am77,2021-03-12,2021-03-12 13:00:00,,,1,0,0.0
am77,2021-03-12,2021-03-12 21:00:00,0.0,0.0,2,1,0.5
am77,2021-03-12,2021-03-12 22:00:00,0.0,0.0,2,2,1.0
am77,2021-03-13,2021-03-13 04:00:00,,,1,0,0.0
am77,2021-03-13,2021-03-13 06:00:00,,,1,0,0.0
am77,2021-03-13,2021-03-13 10:00:00,,,1,0,0.0
am77,2021-03-13,2021-03-13 11:00:00,,,1,0,0.0
am77,2021-03-13,2021-03-13 12:00:00,,,2,0,0.0
am77,2021-03-13,2021-03-13 14:00:00,0.0,0.0,5,2,0.4
am77,2021-03-14,2021-03-14 00:00:00,0.0,0.0,1,1,1.0
am77,2021-03-14,2021-03-14 01:00:00,0.0,0.0,1,1,1.0
am77,2021-03-14,2021-03-14 02:00:00,0.0,0.0,2,2,1.0
am77,2021-03-14,2021-03-14 03:00:00,0.0,0.0,2,2,1.0
am77,2021-03-14,2021-03-14 07:00:00,,,1,0,0.0
am77,2021-03-14,2021-03-14 10:00:00,,,3,0,0.0
am77,2021-03-14,2021-03-14 13:00:00,,,4,0,0.0
am77,2021-03-15,2021-03-15 00:00:00,,,1,0,0.0
am77,2021-03-15,2021-03-15 05:00:00,0.0,0.0,1,1,1.0
am77,2021-03-15,2021-03-15 10:00:00,0.0,0.0,2,1,0.5
am77,2021-03-15,2021-03-15 12:00:00,0.0,0.0,1,1,1.0
am77,2021-03-16,2021-03-16 03:00:00,,,1,0,0.0
am77,2021-03-16,2021-03-16 04:00:00,,,1,0,0.0
am77,2021-03-16,2021-03-16 05:00:00,0.0,0.0,3,1,0.3333333333333333
am77,2021-03-16,2021-03-16 11:00:00,,,1,0,0.0
am77,2021-03-16,2021-03-16 12:00:00,5.714285714285714,5.714285714285714,1,1,1.0
am77,2021-03-17,2021-03-17 01:00:00,,,8,0,0.0
am77,2021-03-17,2021-03-17 02:00:00,,,1,0,0.0
am77,2021-03-17,2021-03-17 03:00:00,,,1,0,0.0
am77,2021-03-17,2021-03-17 04:00:00,,,1,0,0.0
am77,2021-03-17,2021-03-17 06:00:00,,,2,0,0.0
am77,2021-03-17,2021-03-17 08:00:00,0.0,0.0,4,3,0.75
am77,2021-03-17,2021-03-17 13:00:00,0.0,0.0,1,1,1.0
am77,2021-03-18,2021-03-18 04:00:00,0.0,0.0,2,1,0.5
am77,2021-03-19,2021-03-19 02:00:00,,,1,0,0.0
am77,2021-03-19,2021-03-19 11:00:00,0.0,0.0,2,2,1.0
am77,2021-03-19,2021-03-19 12:00:00,0.0,0.0,4,2,0.5
am77,2021-03-19,2021-03-19 13:00:00,0.0,0.0,1,1,1.0
am77,2021-03-20,2021-03-20 00:00:00,,,1,0,0.0
am77,2021-03-20,2021-03-20 01:00:00,,,2,0,0.0
am77,2021-03-20,2021-03-20 02:00:00,,,12,0,0.0
